segment_id,segment_name,segment_type,start_x,start_y,end_x,end_y,start_lon,start_lat,end_lon,end_lat,length_m,geom_wkt
TRAIL-001,금정로 1,금정로 1-1,207506.1155958843,291321.9754187995,207254.3666294963,291366.1966512131,129.082444,35.218346999999994,129.07967928775227,35.218747439487416,1210.3983257996401,"LINESTRING (207506.1155958843 291321.9754187995, 207518.2875984086 291355.7127153016, 207518.6256792881 291387.1103469924, 207545.0108753492 291408.3227563954, 207558.1949444112 291429.0804243456, 207585.3995050405 291450.0717487037, 207601.5931719848 291464.5081569387, 207623.6073972017 291486.2718503531, 207644.4458315668 291498.715247377, 207658.8115030402 291521.3601248471, 207685.4847560278 291524.156368159, 207725.4351062876 291544.7151784011, 207740.7164346503 291560.9261753845, 207748.799364485 291584.1205477153, 207761.8006246106 291604.8783631108, 207710.8734181885 291645.4405810972, 207683.2695666196 291666.8294272741, 207667.3457560785 291656.8308861063, 207645.3955221908 291667.6848906512, 207616.3569071361 291663.3335451908, 207584.5772460072 291670.6291930737, 207564.8124179259 291681.1523917374, 207541.8627624292 291689.7869165005, 207509.0768269815 291703.0730073577, 207482.4858194729 291711.4827707761, 207457.1643134338 291726.1065654584, 207432.851541487 291731.9666240749, 207403.8093087113 291732.1646924601, 207378.1497100048 291715.0582310011, 207372.1596276107 291692.1987273769, 207366.6268008249 291666.7878718238, 207359.9118434981 291639.6009427999, 207349.1086945939 291601.6490578445, 207340.2096961564 291573.1290352463, 207334.5897114488 291542.7256208318, 207328.8727124007 291519.6444843099, 207318.6988722158 291491.2343985593, 207305.7100532443 291453.6136405866, 207288.8927144279 291421.6479975561, 207273.2555323151 291393.7882903077, 207263.3480942378 291373.3665050996, 207254.3666294963 291366.1966512131)"
TRAIL-002,금정로 2,금정로 2-1,205071.3737990296,294917.7829607373,204659.51557364553,295689.36769157124,129.055724,35.250773,129.05120289746915,35.257729641273116,1126.4622079161447,"LINESTRING (205071.3737990296 294917.7829607373, 205073.8253044247 294927.9912980731, 205083.4682310719 294935.0972133099, 205095.9318445097 294943.2032365781, 205105.6665610895 294948.8669394781, 205117.6760362961 294955.3085578334, 205128.5034563891 294959.8634521763, 205141.9704228799 294963.8651352696, 205151.4312411676 294970.971019937, 205149.6963293771 294981.0660474993, 205144.0492118692 294989.1618328371, 205137.4922137459 294996.9242686068, 205129.8427538116 295005.3517602827, 205127.3796842028 295015.6682696541, 205117.5471952654 295022.0975188279, 205109.1685218018 295032.6325748927, 205103.8837480469 295043.8350577034, 205102.8779026173 295052.2663284115, 205097.5945879227 295060.91707525, 205092.8535118225 295076.3357913414, 205089.3844254758 295095.5273654365, 205084.5543727137 295107.3957882305, 205080.9081069913 295118.0444816396, 205076.6232444912 295131.466449342, 205070.6103295728 295143.0013797473, 205070.0643526539 295142.8901280547, 205064.3258412141 295151.9844209818, 205053.5814956495 295161.9634781427, 205042.1141395895 295162.955577984, 205028.8269684825 295163.3919528458, 205013.173141832 295164.7145957464, 205003.0710726325 295165.3746670777, 204996.6962744524 295173.2482528335, 204988.142669444 295171.4684015701, 204972.0338317131 295172.7908645144, 204961.2034811301 295173.8943629193, 204949.0968582411 295178.9912046352, 204938.7214880614 295180.2059245204, 204927.7039942376 295190.739708547, 204918.5090611284 295196.8366874553, 204913.2256453588 295206.1532151202, 204904.7561942093 295217.0212494293, 204899.2002085031 295225.5610206345, 204885.2703971486 295236.5370591106, 204876.9858940203 295242.0798465866, 204869.2451614842 295251.8388553091, 204855.226091333 295259.7084244975, 204842.4799300049 295269.7976033475, 204832.0107061949 295276.5596594825, 204819.7199751459 295285.9834425452, 204810.3404251718 295297.2948619777, 204807.0591098247 295306.9453550546, 204807.417520284 295317.4853479989, 204802.5890179441 295327.3569103015, 204800.671729046 295339.0051466148, 204798.1178265165 295349.8764283216, 204788.7417221996 295354.863991199, 204776.6349113087 295360.959572417, 204765.7118161312 295365.8353960649, 204755.4206227307 295380.474751612, 204744.6766571143 295390.8979599752, 204736.3925563329 295396.1080416149, 204725.3786955996 295400.6510307007, 204714.6392473302 295402.531489249, 204698.8941277378 295405.2969177245, 204686.4246961804 295408.9516348743, 204672.7711347769 295414.7137173384, 204661.025749581 295426.1350152658, 204659.0171454109 295438.7817436656, 204658.5550327812 295452.5387232393, 204668.8378444347 295453.6534852408, 204669.6537779221 295459.6449536193, 204669.744895968 295459.4231101061, 204669.6451175363 295476.3976908923, 204679.0110877832 295490.603537507, 204689.2850991078 295508.5820062882, 204688.9138888469 295522.4499783163, 204686.4511172946 295533.4322869026, 204682.6236020379 295543.8591621293, 204678.3414859168 295553.5091863952, 204674.6945002055 295566.8207372413, 204669.4998008767 295581.4628335138, 204674.3124634458 295601.6573728197, 204677.1260542643 295616.0817225701, 204681.7567930792 295636.0542820648, 204685.1142404241 295654.5838945867, 204680.9225427067 295665.4543648123, 204674.275316684 295673.438987129, 204663.0764435524 295684.527733084, 204659.51557364553 295689.36769157124)"
TRAIL-003,금정로 2,금정로 2-2,204659.51557364553,295689.36769157124,204944.9435236354,296567.7029038328,129.05120289746915,35.257729641273116,129.0543447173603,35.26564509577341,1126.4622079160936,"LINESTRING (204659.51557364553 295689.36769157124, 204652.8771796589 295698.3906416249, 204643.583391905 295721.1296554135, 204638.9365440256 295732.4436935023, 204638.1121834311 295742.8721333936, 204639.4721757 295752.6360231346, 204634.8299036147 295755.0744376105, 204642.014199387 295764.2865917368, 204651.9312856601 295768.0638362106, 204661.6672794527 295770.0658723851, 204673.8609629749 295770.7378461996, 204684.1426049255 295773.4058611586, 204694.9715681309 295773.5224290274, 204706.2525836812 295779.2974588452, 204718.7177448212 295782.8542141352, 204731.0003149469 295787.5203446567, 204745.4672218327 295791.5219671382, 204761.115185376 295799.1854324122, 204775.5793618853 295808.2905887162, 204787.3096948789 295824.6057679605, 204793.6751370577 295833.1519377805, 204796.8597686315 295833.819300816, 204802.5845412856 295849.2437500509, 204808.3131335236 295857.4567558072, 204812.0371310375 295870.5502937274, 204816.3985844945 295882.756610322, 204820.3950236908 295896.848805959, 204822.7534721305 295910.9401288763, 204821.2876008917 295929.4672259455, 204819.916878604 295940.2281971384, 204811.0825187676 295954.3135515481, 204807.6174943658 295967.6251536716, 204804.1540735656 295977.9412325102, 204801.4190576212 295987.4810822511, 204797.9529991723 296002.7897053569, 204797.8556359042 296014.7717570084, 204796.8468234497 296029.5269598474, 204800.6589328065 296047.9459228969, 204802.3812171259 296060.4836698017, 204801.1878127795 296080.1203731887, 204799.8173727864 296090.4375682666, 204797.3545018805 296101.6417466725, 204794.6180577769 296113.9552348735, 204792.8834082552 296124.7160198349, 204787.9628255859 296137.4721332554, 204791.5053321473 296149.456117851, 204799.5084741792 296158.0031653525, 204812.6089854553 296163.5574084981, 204828.5284643231 296172.6634312189, 204837.8050796778 296181.9878120373, 204839.1586061845 296203.2900603313, 204836.421066063 296217.6005550508, 204832.2289116947 296229.4694727693, 204835.4991684945 296239.9000945731, 204842.8645069229 296249.7781856619, 204848.6821946831 296260.98679717, 204866.3321671615 296266.7654541081, 204879.8906327749 296266.4399342074, 204896.1770910861 296269.5552221411, 204906.7305425135 296273.2221498972, 204921.560332073 296277.6680376995, 204932.0206479526 296285.2180350678, 204932.9287194473 296288.6578400182, 204948.7562536527 296298.8734812321, 204957.6697932378 296306.0898247572, 204962.3049198049 296316.2993524535, 204972.2152794965 296330.9496040614, 204974.2085430341 296346.5940116171, 204974.3841759322 296358.1324364136, 204972.7397416562 296370.0026953658, 204973.0038649367 296386.0899334235, 204975.3639631019 296396.5201074895, 204975.994440064 296408.2806747436, 204975.7141228667 296421.5939769715, 204976.8887243112 296436.6832088416, 204976.6088957321 296449.1089480527, 204976.5994795748 296466.1945467105, 204972.9532751231 296477.9527590346, 204972.2190381574 296489.3797395346, 204968.8452777989 296502.1366133002, 204965.1977557482 296516.3356293745, 204960.5510336239 296527.4276244875, 204953.265602148 296538.4072288239, 204944.8851207345 296555.155405165, 204945.5157473817 296566.6940821172, 204944.9435236354 296567.7029038328)"
TRAIL-004,금정로 3,금정로 3-1,204600.8740422887,298101.2226253904,204563.9301049396,298077.2177269717,129.050572,35.279469,129.05016578543342,35.27925280296417,46.316786202431466,"LINESTRING (204600.8740422887 298101.2226253904, 204586.7736099831 298099.3293705436, 204578.6820840684 298088.6744705522, 204568.4054074863 298081.3468438665, 204563.9301049396 298077.2177269717)"
TRAIL-005,금정로 4,금정로 4-1,203628.5104626814,303987.5855128841,203534.80863461984,303126.6316673072,129.03991,35.33252900000001,129.03887565797427,35.324769263802146,958.0294407177448,"LINESTRING (203628.5104626814 303987.5855128841, 203630.3345328904 303973.3850699736, 203635.0668532252 303961.959468389, 203638.6165831229 303952.1975921465, 203637.7113939803 303942.3229705127, 203633.6238977659 303932.8908516047, 203629.1746431877 303918.6878811581, 203627.1794056253 303906.3719947987, 203626.7308006566 303891.5049578768, 203626.8264987542 303879.6337009498, 203631.3780553417 303865.6562524729, 203624.6588320027 303843.907996656, 203622.4780305392 303840.8006123685, 203621.2061929966 303838.2483273815, 203614.8448573761 303830.8123449212, 203613.2130787043 303818.9403958809, 203610.0351365629 303808.3991876573, 203607.5852518517 303796.0831255345, 203604.1368007992 303779.8835313131, 203600.9594550955 303767.7890738398, 203598.3274415919 303756.1386221943, 203589.6928586298 303749.1455373837, 203579.4232927921 303738.1577313042, 203572.2444525273 303728.5025221672, 203564.337270745 303721.2878571724, 203564.5204717176 303717.8485832626, 203569.7065638014 303708.6420643311, 203567.6214201062 303693.4415465472, 203571.4449111124 303681.2389297887, 203572.9971590163 303664.5975477547, 203574.1831324408 303654.5018732313, 203574.8236277699 303644.2950358886, 203573.9185572966 303633.865692156, 203571.4696749998 303618.775977536, 203570.2926700028 303606.2385406158, 203573.7510638166 303597.6970207351, 203575.3952643198 303578.5039050415, 203577.8567531927 303561.8628872755, 203579.0441558871 303548.2169233223, 203579.9570769817 303538.8977692097, 203581.1440447989 303526.3612720833, 203572.5091839921 303519.4791529365, 203562.9647816041 303513.3733087533, 203550.1467743945 303508.2647037244, 203538.8737330762 303504.9318697027, 203532.6039296192 303495.1661063044, 203536.9745159905 303479.0805613968, 203544.3438185707 303467.4340628688, 203552.2613448959 303449.0200432668, 203544.1731905921 303438.9207160367, 203535.2653617858 303432.2604194556, 203522.9044848104 303420.3842902396, 203510.3587028116 303416.2743686293, 203504.5437678545 303405.6212305657, 203503.0010499821 303397.9653148718, 203503.82004989 303396.1904876961, 203506.7348639695 303382.6561362765, 203511.7408424324 303369.3444941381, 203514.2001064289 303358.2507932344, 203515.4766744841 303348.9317771435, 203517.5726429228 303336.8394163887, 203518.6678461184 303326.2999177138, 203518.4905042717 303314.7614029611, 203526.8643398931 303292.2425196368, 203528.2324630036 303281.3702898938, 203523.3301350901 303261.9527193534, 203528.2434118357 303253.411755361, 203529.5205306599 303242.761383957, 203526.7990391007 303226.7840111097, 203527.7119381937 303217.4648561969, 203527.4443753403 303204.151162651, 203527.0848873495 303193.3892045044, 203529.9994537769 303180.7424370433, 203519.821131967 303167.0920272454, 203524.1016222895 303149.231303611, 203532.1984541349 303137.9179248661, 203534.9301923532 303127.8228592109, 203534.80863461984 303126.6316673072)"
TRAIL-006,금정로 4,금정로 4-2,203534.80863461984,303126.6316673072,203985.7950622695,302397.3418014947,129.03887565797427,35.324769263802146,129.04383203655223,35.31819422046889,958.0294407177173,"LINESTRING (203534.80863461984 303126.6316673072, 203534.1149915861 303119.8343871756, 203538.7572767527 303106.9664086335, 203541.6706662353 303097.4261495885, 203545.4048006701 303081.7841541395, 203548.7727507383 303072.4659697096, 203558.868623257 303064.8146398011, 203564.0558304837 303053.7220352876, 203566.2429468926 303041.4078339951, 203565.7922202005 303031.5334131134, 203561.7070845892 303014.8898159654, 203566.6199611805 303007.7911807141, 203575.2607323434 303001.0268662588, 203585.8082534709 303001.1420041621, 203589.176761487 302990.6034241785, 203599.1815666121 302983.6177831718, 203607.2771755549 302975.9657095756, 203630.6554330185 302951.4559152737, 203635.8425251005 302941.0290329164, 203642.5727140976 302937.2595691071, 203644.1208670169 302931.3800290462, 203644.398093418 302920.3964349237, 203639.5845505704 302906.4152271207, 203639.4987309309 302893.7672887929, 203645.4162565539 302876.018237523, 203659.604354474 302868.0358393011, 203670.8820356483 302861.8274216267, 203679.7038857713 302857.5041056809, 203689.7102717133 302847.1901714917, 203703.8998680392 302835.7685019376, 203714.4511941546 302827.1190171911, 203719.3661251028 302815.5826073548, 203725.3707062687 302807.7078856032, 203733.2843999253 302800.8324772594, 203743.1976763077 302796.0658899757, 203749.1125158708 302785.4174842989, 203759.935529352 302779.6527755067, 203784.220048365 302764.5742165638, 203793.9514387451 302760.0295019124, 203804.5009726443 302756.0398756829, 203818.0507762604 302753.0500510585, 203828.5106719007 302746.0648594479, 203840.7868179989 302744.6277789944, 203848.6081615268 302741.4136675334, 203857.341042176 302732.9854675461, 203867.0782170152 302715.1272547899, 203874.8126249759 302702.7045697765, 203881.9102067099 302691.0582426966, 203893.9158982943 302684.406633006, 203904.1027081755 302678.4199300959, 203910.8362390213 302667.661040344, 203920.0264609116 302653.3529365317, 203925.1250611639 302638.4883268192, 203928.8605340253 302621.7370357063, 203924.6861584707 302602.3195827129, 203923.7811930357 302592.3340056485, 203919.6934295335 302582.7908297774, 203917.8820827716 302566.0371245708, 203914.5223817631 302555.0519638845, 203912.3443055896 302545.1767822382, 203916.1678323453 302535.0823144038, 203914.8997487837 302523.6542774168, 203918.4503461434 302513.8925316879, 203916.8189671476 302501.46581868, 203925.1055515455 302474.5094344204, 203926.9292797637 302462.8608510058, 203930.843645274 302453.0992695158, 203929.6619540287 302452.1002360827, 203929.6619540287 302452.1002360827, 203968.5967901608 302416.7253796199, 203977.5128942034 302406.1893978153, 203986.3362699201 302399.7584024344, 203985.7950622695 302397.3418014947)"
TRAIL-007,금정로 4,금정로 4-3,203985.7950622695,302397.3418014947,204401.27123638074,301708.2747738267,129.04383203655223,35.31819422046889,129.0483973523813,35.31198166752165,958.0294407176981,"LINESTRING (203985.7950622695 302397.3418014947, 203984.2489228008 302390.4379780018, 203993.5259047346 302386.4480120912, 203993.8911137261 302383.1197806274, 203996.3473028661 302380.9019405938, 204010.2618636178 302377.02499605, 204013.3488131071 302387.788175217, 204021.3485334543 302393.2281170277, 204032.0803651463 302389.460732947, 204035.4494240249 302379.3661144865, 204041.4542731675 302372.1572865229, 204051.8212564241 302370.9415305834, 204061.8247578664 302369.1708905304, 204074.191235012 302370.285936999, 204087.7438722991 302362.5258230116, 204101.8418328413 302355.431656284, 204109.4835102868 302348.3345653817, 204118.8536039724 302339.7959670791, 204121.4060969942 302325.9288293618, 204134.3203174842 302322.4954048268, 204142.0539004572 302313.4013481582, 204153.7863592893 302309.1907834599, 204164.8806994913 302308.4192785678, 204173.4294466641 302306.4261974054, 204173.7975512293 302296.9959210903, 204179.8959702558 302284.4618007046, 204178.6272593236 302275.0307659017, 204180.2701547039 302261.9398493477, 204186.1847783839 302253.6216127163, 204193.7389260098 302239.5349287963, 204198.4719895325 302229.9957401131, 204201.7499451951 302220.7887148061, 204209.1203568552 302210.8069762047, 204217.2172294936 302203.0445119871, 204216.8583675615 302192.6153809497, 204216.2265424118 302182.5189616346, 204217.1407257555 302172.2013729423, 204219.9636270871 302163.8817133741, 204220.4239685779 302151.7887702702, 204224.521646616 302139.9194243633, 204235.6170355569 302137.3728644269, 204244.5309587125 302132.7173088387, 204254.9904905491 302128.7281700616, 204265.9957534891 302124.517408908, 204275.4570063182 302116.3118581027, 204283.8260915603 302110.1028333913, 204296.2003009599 302095.685690995, 204303.6602666362 302089.0324659472, 204309.7581047032 302078.3845253598, 204310.3089239239 302067.5120418345, 204312.7690991996 302057.3061502997, 204319.0485774523 302047.2130353355, 204312.3245536829 302036.115176562, 204309.6916767777 302027.1272596531, 204313.9711377663 302015.8127752348, 204320.8855587693 302009.159304034, 204328.9819626287 302002.9501913429, 204334.4429529016 301993.078587542, 204348.5448435707 301979.4389748442, 204357.2767841552 301975.4491220488, 204366.3735581219 301969.2405268299, 204374.6485123353 301970.021163911, 204384.2908763595 301963.9237979964, 204387.2063928063 301952.6086859039, 204390.3968921305 301936.8558538149, 204390.3134655707 301921.4342670871, 204394.2304603671 301907.7897720019, 204398.7869599506 301888.1544870368, 204400.8832586571 301878.5031763353, 204397.431867028 301869.7367289873, 204395.3464441317 301857.0878263479, 204397.4455608486 301841.667305899, 204400.6356294809 301826.9129969736, 204403.9168646201 301811.7149486036, 204404.2878858165 301796.8483184004, 204402.384172064 301784.5323433594, 204401.3026481637 301764.5614723342, 204400.3141174025 301740.3746863637, 204403.6844805736 301728.948858949, 204402.8717093788 301717.2990961349, 204401.27123638074 301708.2747738267)"
TRAIL-008,금정로 4,금정로 4-4,204401.27123638074,301708.2747738267,204832.86774406245,300933.36716715683,129.0483973523813,35.31198166752165,129.05313871368375,35.30499514528144,958.0294407176842,"LINESTRING (204401.27123638074 301708.2747738267, 204400.7858251161 301705.5377656364, 204402.3366336383 301695.6642988736, 204399.7059123709 301682.2385079341, 204403.1663157947 301672.6988128845, 204402.5354203457 301661.0491399295, 204402.7222330088 301650.9531151623, 204405.1831679079 301639.6377919849, 204408.6448956283 301627.4353884533, 204411.9237727431 301617.2299307838, 204418.0240143929 301602.588003898, 204424.0327897789 301589.0554997327, 204432.4068850616 301573.8599677579, 204442.2359140824 301558.9979996473, 204455.428184258 301547.4660935238, 204464.8888407553 301542.0344049963, 204476.0802174811 301530.9453237586, 204488.6365287167 301518.3036877561, 204498.1869602461 301515.3128978117, 204509.9194031653 301513.5436187212, 204522.4733928129 301505.6727200935, 204527.3901876761 301493.9148795874, 204529.6696036007 301482.266662682, 204531.6755836905 301471.8387184078, 204529.3167027647 301460.6319565864, 204531.8683448711 301450.2042868515, 204535.966359612 301439.1117181473, 204540.609484613 301429.1288889581, 204553.9011961361 301401.3990202073, 204563.1807959804 301394.7469350576, 204573.096451722 301389.2046450177, 204587.1050339365 301382.7768772291, 204603.1156435572 301373.9093349249, 204618.0358683749 301363.2661219493, 204624.0423146424 301355.170121942, 204631.9609894636 301342.4153644339, 204634.967504204 301331.9879592077, 204636.6108893216 301319.5628209671, 204646.5306184336 301306.3653211082, 204656.4469383806 301299.8246071081, 204665.6358313373 301293.0616350273, 204675.823459962 301289.5166322297, 204683.9271522975 301270.992811248, 204693.2079063959 301262.5657211579, 204704.3099498305 301249.5907938539, 204711.6799711732 301242.9378664489, 204718.3254618656 301230.5153600994, 204725.3323097145 301222.7527913058, 204735.2485457189 301216.6559495744, 204740.8919383039 301207.5613218424, 204747.4434534199 301201.0189398885, 204744.9027611458 301190.0339226713, 204747.6387232223 301175.6123494777, 204743.7389151586 301154.9742933425, 204744.3811413224 301144.3237910631, 204748.3896031408 301131.3451900023, 204760.2205705809 301116.262738941, 204765.318313934 301107.2787858997, 204764.3242937968 301095.1851199216, 204776.8792054789 301087.0926872329, 204776.3342311183 301085.7610436043, 204778.7041943849 301075.6661914451, 204782.075048768 301064.6843009443, 204780.1707532326 301054.1433985261, 204781.9057473065 301040.9417164581, 204782.2747140797 301031.1786435516, 204783.3713186564 301021.3050105673, 204792.6516557407 301014.3203262118, 204797.0219684214 301005.2250594538, 204803.5744985595 300997.1294733095, 204817.3155165483 300982.270010013, 204823.0503233497 300972.73170047, 204827.6051368063 300958.865860142, 204827.5198914454 300948.2149772548, 204832.4379220688 300935.458796504, 204832.86774406245 300933.36716715683)"
TRAIL-009,금정로 4,금정로 4-5,204832.86774406245,300933.36716715683,205200.44094901494,300156.4554534677,129.05313871368375,35.30499514528144,129.05717535464086,35.29799070082364,958.0294407177296,"LINESTRING (204832.86774406245 300933.36716715683, 204834.4440158979 300925.6966047404, 204836.1805419437 300909.8322271559, 204838.0052842414 300899.0714233613, 204836.9208655369 300886.0901348354, 204833.8368198168 300870.7779041186, 204831.8483720516 300847.589081336, 204835.7670342039 300832.9462833203, 204834.5909409857 300821.2963016021, 204832.5955270343 300811.088181667, 204835.4211457711 300799.5512920081, 204839.3399535213 300784.6866042421, 204841.3469815415 300773.2602237701, 204841.4424585677 300764.8283645154, 204848.6312558907 300757.8426172156, 204852.1816464193 300751.6315404322, 204856.46221167 300740.6501722864, 204864.7452551636 300728.450556737, 204868.7523367105 300718.6894552381, 204877.3956181339 300713.1468170759, 204878.2224543728 300697.8366913371, 204878.8649308361 300687.0752595596, 204880.7820404745 300673.8737019457, 204879.7897472055 300658.784485138, 204877.8893801023 300641.0320694293, 204878.2599667292 300628.4953527468, 204877.0835411346 300617.5110458177, 204874.2695666428 300607.3024770874, 204877.1868536318 300594.6561917595, 204877.643351832 300591.4389999532, 204884.014591322 300582.8995939663, 204891.6583252427 300575.9141289872, 204897.0320105389 300562.0487756897, 204897.6743982628 300551.5092396453, 204899.860200433 300546.0740654266, 204901.4095212884 300540.3057073445, 204898.9569480696 300534.5351746377, 204907.8729791776 300529.5474458375, 204909.3337716653 300519.3411950106, 204916.3429081728 300508.694183106, 204919.2589543221 300498.4887276718, 204923.5385699116 300489.6153714502, 204929.4555855567 300480.2991276822, 204938.8292460674 300470.2081573228, 204946.3824083657 300462.7789055069, 204954.7509901877 300461.1193074306, 204958.4879294328 300446.8093091773, 204994.3376932914 300421.089587942, 205007.0778120188 300409.1144699056, 205019.9986983109 300399.2474471776, 205029.6431777204 300393.1507836427, 205033.2864616347 300383.9442873703, 205034.4756108078 300371.8518229595, 205033.5721411755 300360.9785980778, 205030.7602435355 300347.2197094198, 205028.4044074009 300331.1312076381, 205034.9598020053 300319.1526840174, 205041.6953862943 300310.2807574037, 205044.1606505453 300293.3073799209, 205050.3517774872 300282.2162332683, 205060.5425669809 300275.3432867509, 205072.184781244 300275.3498270058, 205083.5557570958 300272.471630436, 205091.5651060407 300263.0457290664, 205103.5744206636 300257.283319249, 205116.6745187416 300252.7419514515, 205126.4994906127 300249.5300937337, 205136.2361681785 300241.6584598145, 205142.6996768883 300231.6769933715, 205152.1645993737 300221.9191380282, 205157.3541292305 300213.0464156796, 205162.9986374125 300203.8411185568, 205164.4545610668 300202.732491113, 205164.825181528 300190.861470349, 205169.0151823024 300180.3239912201, 205176.1139339626 300173.0056199737, 205183.6608448968 300177.2259062446, 205188.8496015862 300169.7955013541, 205196.6765365587 300161.5899965602, 205200.44094901494 300156.4554534677)"
TRAIL-010,금정로 4,금정로 4-6,205200.44094901494,300156.4554534677,205753.49508000413,299475.47489017446,129.05717535464086,35.29799070082364,129.06325103467682,35.29184973048695,958.0294407177141,"LINESTRING (205200.44094901494 300156.4554534677, 205205.0510788152 300150.1673778658, 205204.8755054002 300139.1836131322, 205205.1502308111 300135.9663349598, 205211.7031807679 300128.8695693026, 205218.3474825385 300121.1071847707, 205222.3568857769 300108.4616511654, 205232.0941210073 300100.0353918704, 205241.1055908833 300088.3912848664, 205246.1144038394 300077.7433727027, 205260.5795754887 300072.5373321873, 205273.9502319305 300072.5451407528, 205286.3228991522 300068.2254868495, 205293.5130516091 300060.4634781546, 205309.8875267655 300056.7009366313, 205317.5317745993 300050.1596214143, 205327.360446562 300041.1787889441, 205335.7337563902 300032.3080522525, 205345.926887137 300022.3289411036, 205352.5728313843 300012.1258436402, 205359.6738421641 300001.4792373107, 205362.499265451 299991.8286083028, 205368.9628069905 299982.5129834356, 205377.8824222672 299972.8659892019, 205389.7144347581 299960.3361459751, 205396.3611378952 299949.0236213372, 205402.0062542305 299939.4856388742, 205410.3805969258 299929.1726743181, 205421.2101686725 299919.9706536567, 205429.8554899951 299912.8753060602, 205442.1388983696 299906.2259453996, 205453.9684711116 299898.0230822302, 205464.5259880168 299887.600542716, 205470.8053020471 299882.3898844545, 205476.7217311738 299875.6257654567, 205482.459083666 299864.2018072303, 205488.6513810126 299852.5562375429, 205495.3862049052 299846.2364132706, 205506.4001841907 299833.2624423367, 205515.3179230658 299827.1658580506, 205520.1446743964 299817.5165044902, 205528.8833753959 299806.7600901937, 205537.2579862348 299796.4472451569, 205545.9937265363 299790.5724717922, 205551.8230682229 299777.7063168938, 205558.3773714261 299769.2784542958, 205566.2970452752 299759.2981944581, 205563.2119318784 299747.0922269844, 205556.3046341656 299737.8794485289, 205553.5822483298 299727.4488447537, 205554.7715648155 299716.3549738075, 205556.3251364519 299704.5956513842, 205566.0662001347 299691.1771874618, 205568.6213870842 299677.7542952856, 205580.0054231037 299655.2392874001, 205577.4650304101 299644.6978442607, 205581.2026755825 299631.3866337463, 205587.5753269352 299622.736789532, 205587.4901381958 299613.4172714064, 205591.4098717855 299599.884286454, 205595.7843570298 299586.4625315551, 205600.7039377389 299574.1505775323, 205607.6211094951 299567.6090603585, 205616.2679509423 299558.8497051127, 205625.0040417467 299552.8640640408, 205634.1964793949 299544.4379043606, 205639.9320908122 299536.4533762133, 205649.391887632 299536.9030796016, 205659.2164373517 299535.9107236755, 205668.1345035541 299529.9252386489, 205679.4143904531 299529.0447652818, 205689.2395118643 299527.1648743765, 205710.1664709933 299518.3024165963, 205714.5387124295 299508.7638291173, 205718.819367446 299500.2236998124, 205726.5566135148 299491.6857662426, 205729.4727755791 299483.2557220839, 205738.841308213 299484.2601911655, 205750.6712088537 299476.8343429264, 205753.49508000413 299475.47489017446)"
